ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-03-01,11926.544415947736,10519.331445171252,13671.644921634945,11926.544415947736,11926.544415947736,110.20229298902156,110.20229298902156,110.20229298902156,110.20229298902156,110.20229298902156,110.20229298902156,0.0,0.0,0.0,12036.746708936756
2022-04-01,12156.137500955283,11032.426533904441,14135.71081702071,12156.137500955283,12156.137500955283,410.1200374168701,410.1200374168701,410.1200374168701,410.1200374168701,410.1200374168701,410.1200374168701,0.0,0.0,0.0,12566.257538372152
2022-05-01,12378.324357414202,11382.286399378512,14606.774522331805,12378.324357414202,12378.324357414202,631.0424204487456,631.0424204487456,631.0424204487456,631.0424204487456,631.0424204487456,631.0424204487456,0.0,0.0,0.0,13009.366777862948
2022-06-01,12611.383390533898,10168.884652231807,13305.41531017892,12611.383390533898,12611.383390533898,-855.2054337291067,-855.2054337291067,-855.2054337291067,-855.2054337291067,-855.2054337291067,-855.2054337291067,0.0,0.0,0.0,11756.177956804791
2022-07-01,12836.924390327156,10844.587955590501,13886.921595807515,12836.924390327156,12836.924390327156,-506.45197620611407,-506.45197620611407,-506.45197620611407,-506.45197620611407,-506.45197620611407,-506.45197620611407,0.0,0.0,0.0,12330.472414121043
2022-08-01,13069.983423446854,11073.32299059336,14164.31601587125,13069.983423446854,13069.983423446854,-449.2502562713098,-449.2502562713098,-449.2502562713098,-449.2502562713098,-449.2502562713098,-449.2502562713098,0.0,0.0,0.0,12620.733167175546
2022-09-01,13303.042456566558,11162.931993300883,14316.135048472044,13303.042456566558,13303.042456566558,-555.4581792543609,-555.4581792543609,-555.4581792543609,-555.4581792543609,-555.4581792543609,-555.4581792543609,0.0,0.0,0.0,12747.584277312197
2022-10-01,13528.583458838802,11486.646224568865,14786.95833928813,13528.583458838802,13528.583458838802,-403.26321669739355,-403.26321669739355,-403.26321669739355,-403.26321669739355,-403.26321669739355,-403.26321669739355,0.0,0.0,0.0,13125.32024214141
2022-11-01,13761.642494520129,11705.95319260208,14869.323502893034,13761.642494520129,13761.642494520129,-422.94581624752493,-422.94581624752493,-422.94581624752493,-422.94581624752493,-422.94581624752493,-422.94581624752493,0.0,0.0,0.0,13338.696678272603
2022-12-01,13987.183496792371,12302.974053247233,15362.01809446764,13987.183496792371,13987.183496792371,-176.6787054351234,-176.6787054351234,-176.6787054351234,-176.6787054351234,-176.6787054351234,-176.6787054351234,0.0,0.0,0.0,13810.504791357249
2023-01-01,14220.242683684663,12761.590553799051,15945.745726482528,14220.242683684663,14220.242683684663,108.31031394002518,108.31031394002518,108.31031394002518,108.31031394002518,108.31031394002518,108.31031394002518,0.0,0.0,0.0,14328.552997624687
2023-02-01,14453.301870576948,12894.854452646025,16028.342842613944,14453.301870576948,14453.301870576948,64.48396759891844,64.48396759891844,64.48396759891844,64.48396759891844,64.48396759891844,64.48396759891844,0.0,0.0,0.0,14517.785838175867
2023-03-01,14663.806942608691,12935.07131375844,16235.536752007187,14663.806942608691,14663.806942608691,-34.03786812847598,-34.03786812847598,-34.03786812847598,-34.03786812847598,-34.03786812847598,-34.03786812847598,0.0,0.0,0.0,14629.769074480215
2023-04-01,14896.866129500982,13466.472803479282,16690.781760763246,14896.866129500982,14896.866129500982,165.53692929438628,165.53692929438628,165.53692929438628,165.53692929438628,165.53692929438628,165.53692929438628,0.0,0.0,0.0,15062.40305879537
2023-05-01,15122.407280610487,14026.388128010996,17083.500796875272,15122.407280610487,15122.407280610487,515.7009887037261,515.7009887037261,515.7009887037261,515.7009887037261,515.7009887037261,515.7009887037261,0.0,0.0,0.0,15638.108269314213
2023-06-01,15355.466470090316,12894.227236082526,16119.573880402224,15355.466470090316,15355.466470090316,-722.3870278811772,-722.3870278811772,-722.3870278811772,-722.3870278811772,-722.3870278811772,-722.3870278811772,0.0,0.0,0.0,14633.079442209139
2023-07-01,15581.007621199824,13652.621660773466,16891.553664780567,15581.007621199824,15581.007621199824,-307.2824949143516,-307.2824949143516,-307.2824949143516,-307.2824949143516,-307.2824949143516,-307.2824949143516,0.0,0.0,0.0,15273.725126285472
